[2026-06-06T09:10:24.209Z] GET file:///Users/dang/Desktop/bootcamp-podcast-map/index.html → 200 (3ms, 3807B)
[2026-06-06T09:10:24.216Z] GET https://fonts.googleapis.com/css2?family=Noto+Sans+SC:wght@400;500;700;900&display=swap → pending (?ms, ?B)
[2026-06-06T09:10:25.341Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.118.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.341Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.113.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.342Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALRLoKI2w328g.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.342Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.115.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.342Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.112.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.342Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.111.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.342Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.117.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.342Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.101.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.342Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.107.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.342Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.119.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.343Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.116.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.343Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.110.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.343Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.109.woff2 → pending (?ms, ?B)
[2026-06-06T09:10:25.343Z] GET https://fonts.gstatic.com/s/notosanssc/v40/k3kXo84MPvpLmixcA63oeALhLIiP-Q-87KaAaH7rzeAODp22mF0qmF4CSjmPC6A0Rg5g1igg1w.114.woff2 → pending (?ms, ?B)
